Type,Type2,Price,Sold Date,Bedrooms,Bathrooms,Area,Acres,Age,DoM,Unit No,Building No,Street,City,Address
House,Rancher,1061650,10/07/2017,5,3,2240,0.22,44,9,4123,YUCULTA,"CRESCENT,",Vancouver,"4123 YUCULTA CRESCENT, Vancouver"
Townhouse,"Corner Unit, Ground Level Unit",594150,21/01/2018,2,1,716,,34,7,2638,YORK,"AVENUE,",Vancouver,"2638 YORK AVENUE, Vancouver"
Townhouse,"Corner Unit, Ground Level Unit",594150,21/01/2018,2,1,716,,34,7,2638,YORK,"AVENUE,",Vancouver,"2638 YORK AVENUE, Vancouver"
Townhouse,"Corner Unit, Ground Level Unit",594150,21/01/2018,2,1,716,,34,7,2638,YORK,"AVENUE,",Vancouver,"2638 YORK AVENUE, Vancouver"
Townhouse,Ground Level Unit,1092250,11/08/2017,3,2,1356,,38,77,2410,YORK,"AVENUE,",Vancouver,"2410 YORK AVENUE, Vancouver"
Townhouse,2 Storey,697000,11/03/2018,3,2,802,,20,19,2110,"YEW STREET,",,Vancouver,"2110 YEW STREET,  Vancouver"
Townhouse,2 Storey,1088000,17/01/2018,4,3,1678,,51,65,5416,"YEW STREET,",,Vancouver,"5416 YEW STREET,  Vancouver"
Townhouse,"3 Storey, End Unit",748000,07/07/2018,3,2,1232,,33,13,1345,WOODLAND,"DRIVE,",Vancouver,"1345 WOODLAND DRIVE, Vancouver"
House,"3 Storey, Carriage/Coach House",1177250,09/01/2017,4,3,1979,0.09,24,6,1608,WOODLAND,"DRIVE,",Vancouver,"1608 WOODLAND DRIVE, Vancouver"
House,Split Entry,2193000,08/01/2018,4,3,3045,0.16,54,148,6091,"WILLOW STREET,",,Vancouver,"6091 WILLOW STREET,  Vancouver"
Townhouse,2 Storey,731000,27/11/2017,3,2,1185,,31,0,3058,"WILLOW STREET,",,Vancouver,"3058 WILLOW STREET,  Vancouver"
Townhouse,3 Storey,1275000,13/01/2017,4,3,1365,,11,25,5639,"WILLOW STREET,",,Vancouver,"5639 WILLOW STREET,  Vancouver"
House,1 Storey,5100000,18/03/2017,7,2,2184,0.17,68,26,5290,"WILLOW STREET,",,Vancouver,"5290 WILLOW STREET,  Vancouver"
House,2 Storey w/Bsmt.,3060000,10/11/2017,9,6,4210,0.09,106,19,1925,WHYTE,"AVENUE,",Vancouver,"1925 WHYTE AVENUE, Vancouver"
House,3 Storey,3230000,19/04/2017,5,3,2500,0.09,107,3,2006,WHYTE,"AVENUE,",Vancouver,"2006 WHYTE AVENUE, Vancouver"
House,3 Storey,3230000,19/04/2017,5,3,2500,0.09,107,3,2006,WHYTE,"AVENUE,",Vancouver,"2006 WHYTE AVENUE, Vancouver"
Townhouse,"2 Storey, Inside Unit",525300,24/05/2017,4,2,1258,,39,70,3412,WEYMOOR,"PLACE,",Vancouver,"3412 WEYMOOR PLACE, Vancouver"
Townhouse,"2 Storey, Inside Unit",525300,24/05/2017,4,2,1258,,39,70,3412,WEYMOOR,"PLACE,",Vancouver,"3412 WEYMOOR PLACE, Vancouver"
Townhouse,"2 Storey, Inside Unit",525300,24/05/2017,4,2,1258,,39,70,3412,WEYMOOR,"PLACE,",Vancouver,"3412 WEYMOOR PLACE, Vancouver"
Townhouse,"2 Storey, Inside Unit",525300,24/05/2017,4,2,1258,,39,70,3412,WEYMOOR,"PLACE,",Vancouver,"3412 WEYMOOR PLACE, Vancouver"
Townhouse,2 Storey,579700,11/09/2017,4,2,1250,,38,28,3488,WEYMOOR,"PLACE,",Vancouver,"3488 WEYMOOR PLACE, Vancouver"
Townhouse,2 Storey,579700,11/09/2017,4,2,1250,,38,28,3488,WEYMOOR,"PLACE,",Vancouver,"3488 WEYMOOR PLACE, Vancouver"
Townhouse,2 Storey,579700,11/09/2017,4,2,1250,,38,28,3488,WEYMOOR,"PLACE,",Vancouver,"3488 WEYMOOR PLACE, Vancouver"
Townhouse,2 Storey,579700,11/09/2017,4,2,1250,,38,28,3488,WEYMOOR,"PLACE,",Vancouver,"3488 WEYMOOR PLACE, Vancouver"
Townhouse,2 Storey,573750,11/08/2017,4,2,1260,,38,20,3472,WEYMOOR,"PLACE,",Vancouver,"3472 WEYMOOR PLACE, Vancouver"
Townhouse,2 Storey,573750,11/08/2017,4,2,1260,,38,20,3472,WEYMOOR,"PLACE,",Vancouver,"3472 WEYMOOR PLACE, Vancouver"
Townhouse,2 Storey,573750,11/08/2017,4,2,1260,,38,20,3472,WEYMOOR,"PLACE,",Vancouver,"3472 WEYMOOR PLACE, Vancouver"
Townhouse,2 Storey,573750,11/08/2017,4,2,1260,,38,20,3472,WEYMOOR,"PLACE,",Vancouver,"3472 WEYMOOR PLACE, Vancouver"
Townhouse,2 Storey w/Bsmt.,1538500,08/04/2018,5,4,2020,,15,51,932,WESTBURY,"WALK,",Vancouver,"932 WESTBURY WALK, Vancouver"
Townhouse,2 Storey w/Bsmt.,1479000,23/08/2017,5,4,1920,,14,51,962,WESTBURY,"WALK,",Vancouver,"962 WESTBURY WALK, Vancouver"
House,2 Storey,892500,20/02/2018,2,?,1269,0.1,68,15,3324,WELLINGTON,"AVENUE,",Vancouver,"3324 WELLINGTON AVENUE, Vancouver"
House,2 Storey,1275000,16/01/2017,6,3,2432,0.1,25,172,3308,WELLINGTON,"AVENUE,",Vancouver,"3308 WELLINGTON AVENUE, Vancouver"
Townhouse,2 Storey w/Bsmt.,645915,19/10/2017,4,2,1702,,39,1,7270,WEAVER,"COURT,",Vancouver,"7270 WEAVER COURT, Vancouver"
Townhouse,3 Storey,653650,13/03/2017,4,3,1702,,38,7,7269,WEAVER,"COURT,",Vancouver,"7269 WEAVER COURT, Vancouver"
Townhouse,3 Storey,653650,13/03/2017,4,3,1702,,38,7,7269,WEAVER,"COURT,",Vancouver,"7269 WEAVER COURT, Vancouver"
House,Other,1449250,23/08/2017,5,2,2347,0.12,55,142,2627,WAVERLEY,"AVENUE,",Vancouver,"2627 WAVERLEY AVENUE, Vancouver"
House,Rancher w/Bsmt.,1218900,15/04/2017,5,2,2070,0.09,54,32,2656,WAVERLEY,"AVENUE,",Vancouver,"2656 WAVERLEY AVENUE, Vancouver"
Townhouse,2 Storey,968915,13/04/2018,3,3,1733,,31,42,242,WATERLEIGH,"DRIVE,",Vancouver,"242 WATERLEIGH DRIVE, Vancouver"
Townhouse,2 Storey,968915,13/04/2018,3,3,1733,,31,42,242,WATERLEIGH,"DRIVE,",Vancouver,"242 WATERLEIGH DRIVE, Vancouver"
Townhouse,2 Storey w/Bsmt.,1088000,30/06/2017,3,3,1691,,30,33,224,WATERLEIGH,"DRIVE,",Vancouver,"224 WATERLEIGH DRIVE, Vancouver"
Apartment,"Penthouse, Upper Unit",433500,17/09/2017,2,1,625,,23,7,,W409,"KINGSWAY AVENUE,",Vancouver,"W409 KINGSWAY AVENUE, Vancouver"
Apartment,Ground Level Unit,722500,28/10/2017,3,1,929,,28,30,,W104,"W 12TH AVENUE,",Vancouver,"W104 W 12TH AVENUE, Vancouver"
House,2 Storey w/Bsmt.,2086750,11/01/2017,7,6,2833,0.09,8,130,75,W WOODSTOCK,"AVENUE,",Vancouver,"75 W WOODSTOCK AVENUE, Vancouver"
House,2 Storey w/Bsmt.,2082500,30/06/2017,4,5,2415,0.09,22,75,55,W WOODSTOCK,"AVENUE,",Vancouver,"55 W WOODSTOCK AVENUE, Vancouver"
Apartment,"Other, Penthouse",697000,07/05/2017,3,2,1265,,New,0,,W PH-1,"KINGSWAY,",Vancouver,"W PH-1 KINGSWAY, Vancouver"
House,2 Storey w/Bsmt.,3357500,08/05/2018,7,6,4500,0.18,48,122,4182,W KING,"EDWARD AVENUE,",Vancouver,"4182 W KING EDWARD AVENUE, Vancouver"
House,3 Storey,1712750,07/12/2018,6,3,2529,0.1,90,8,3414,W KING,"EDWARD AVENUE,",Vancouver,"3414 W KING EDWARD AVENUE, Vancouver"
House,2 Storey w/Bsmt.,2762500,07/12/2018,9,6,5236,0.31,50,22,1527,W KING,"EDWARD AVENUE,",Vancouver,"1527 W KING EDWARD AVENUE, Vancouver"
House,"1 Storey, Rancher w/Bsmt.",3527500,30/11/2017,5,2,3335,0.42,67,17,1327,W KING,"EDWARD AVENUE,",Vancouver,"1327 W KING EDWARD AVENUE, Vancouver"
House,2 Storey w/Bsmt.,2975000,18/11/2017,6,5,3727,0.14,10,13,2525,W KING,"EDWARD AVENUE,",Vancouver,"2525 W KING EDWARD AVENUE, Vancouver"
House,2 Storey w/Bsmt.,3230000,17/09/2017,5,4,4352,0.24,90,6,1390,W KING,"EDWARD AVENUE,",Vancouver,"1390 W KING EDWARD AVENUE, Vancouver"
House,2 Storey w/Bsmt.,2558094.55,28/06/2017,5,6,2998,0.1,1 year,21,3376,W KING,"EDWARD AVENUE,",Vancouver,"3376 W KING EDWARD AVENUE, Vancouver"
House,2 Storey w/Bsmt.,4122500,10/09/2017,7,?,2450,0.17,90,362,15,W KING,"EDWARD AVENUE,",Vancouver,"15 W KING EDWARD AVENUE, Vancouver"
House,2 Storey w/Bsmt.,3400000,26/12/2017,5,4,3669,0.24,89,8,1920,W KING,"EDWARD AVENUE,",Vancouver,"1920 W KING EDWARD AVENUE, Vancouver"
House,2 Storey w/Bsmt.,2509523.85,24/12/2017,5,6,2998,0.1,1 year,8,3388,W KING,"EDWARD AVENUE,",Vancouver,"3388 W KING EDWARD AVENUE, Vancouver"
House,Rancher w/Bsmt.,2167500,09/09/2017,5,2,2522,0.16,65,14,2438,W KING,"EDWARD AVENUE,",Vancouver,"2438 W KING EDWARD AVENUE, Vancouver"
House,2 Storey w/Bsmt.,3468000,09/06/2017,6,5,4582,0.24,89,51,1310,W KING,"EDWARD AVENUE,",Vancouver,"1310 W KING EDWARD AVENUE, Vancouver"
Townhouse,"3 Storey, Corner Unit",1408571.55,08/06/2018,4,3,1772,,1 year,21,2445,"W BROADWAY,",,Vancouver,"2445 W BROADWAY,  Vancouver"
House,2 Storey,2550000,27/08/2017,4,3,2482,0.13,15,4,3768,"W BROADWAY,",,Vancouver,"3768 W BROADWAY,  Vancouver"
House,2 Storey,2550000,27/08/2017,4,3,2482,0.13,15,4,3768,"W BROADWAY,",,Vancouver,"3768 W BROADWAY,  Vancouver"
House,2 Storey w/Bsmt.,2873000,24/07/2017,4,2,2294,0.14,79,63,3855,"W BROADWAY,",,Vancouver,"3855 W BROADWAY,  Vancouver"
House,3 Storey,2720000,07/12/2018,4,3,2151,0.09,9,1,4669,W 9TH,"AVENUE,",Vancouver,"4669 W 9TH AVENUE, Vancouver"
House,2 Storey,1944800,23/10/2017,6,3,2745,0.09,46,33,4609,W 9TH,"AVENUE,",Vancouver,"4609 W 9TH AVENUE, Vancouver"
House,2 Storey w/Bsmt.,3187500,19/10/2017,5,5,2700,0.09,New,63,4406,W 9TH,"AVENUE,",Vancouver,"4406 W 9TH AVENUE, Vancouver"
House,2 Storey w/Bsmt.,1742500,13/04/2017,4,2,2468,0.09,90,19,4370,W 9TH,"AVENUE,",Vancouver,"4370 W 9TH AVENUE, Vancouver"
Townhouse,2 Storey,1466250,08/02/2018,4,3,1560,0.13,9,53,2416,W 8TH,"AVENUE,",Vancouver,"2416 W 8TH AVENUE, Vancouver"
Townhouse,2 Storey,957950,07/02/2018,3,2,1111,,10,3,1669,W 8TH,"AVENUE,",Vancouver,"1669 W 8TH AVENUE, Vancouver"
Townhouse,3 Storey,1028500,06/05/2018,3,2,1225,,36,7,1221,W 8TH,"AVENUE,",Vancouver,"1221 W 8TH AVENUE, Vancouver"
Apartment,Upper Unit,510000,06/01/2018,2,1,722,,34,10,1294,W 8TH,"AVENUE,",Vancouver,"1294 W 8TH AVENUE, Vancouver"
Apartment,Upper Unit,510000,06/01/2018,2,1,722,,34,10,1294,W 8TH,"AVENUE,",Vancouver,"1294 W 8TH AVENUE, Vancouver"
Townhouse,"2 Storey, End Unit",845750,29/01/2018,3,2,1130,,36,8,1209,W 8TH,"AVENUE,",Vancouver,"1209 W 8TH AVENUE, Vancouver"
House,3 Storey,2265250,05/11/2018,5,3,2126,0.08,25,85,4487,W 8TH,"AVENUE,",Vancouver,"4487 W 8TH AVENUE, Vancouver"
Townhouse,"3 Storey, Ground Level Unit",848300,22/09/2017,3,1,1287,,43,3,1139,W 8TH,"AVENUE,",Vancouver,"1139 W 8TH AVENUE, Vancouver"
Townhouse,2 Storey,687650,16/09/2017,3,1,933,,40,3,1325,W 8TH,"AVENUE,",Vancouver,"1325 W 8TH AVENUE, Vancouver"
House,2 Storey,1785000,12/02/2017,6,2,2301,0.1,98,86,2765,W 8TH,"AVENUE,",Vancouver,"2765 W 8TH AVENUE, Vancouver"
House,"2 Storey, Live/Work Studio",1708500,22/06/2017,5,2,1902,0.09,104,95,3636,W 8TH,"AVENUE,",Vancouver,"3636 W 8TH AVENUE, Vancouver"
Townhouse,2 Storey,773500,14/06/2017,2,1,910,,42,23,1159,W 8TH,"AVENUE,",Vancouver,"1159 W 8TH AVENUE, Vancouver"
Townhouse,3 Storey,998750,10/01/2017,3,2,1173,,30,15,1360,W 8TH,"AVENUE,",Vancouver,"1360 W 8TH AVENUE, Vancouver"
Townhouse,3 Storey,998750,10/01/2017,3,2,1173,,30,15,1360,W 8TH,"AVENUE,",Vancouver,"1360 W 8TH AVENUE, Vancouver"
House,2 Storey w/Bsmt.,1572500,10/01/2017,4,1,2163,0.09,89,43,3358,W 8TH,"AVENUE,",Vancouver,"3358 W 8TH AVENUE, Vancouver"
Townhouse,"2 Storey, End Unit",1309000,28/12/2017,3,3,1411,,36,7,1367,W 8TH,"AVENUE,",Vancouver,"1367 W 8TH AVENUE, Vancouver"
House,2 Storey w/Bsmt.,2618000,15/12/2017,4,3,2137,0.09,90,11,4360,W 8TH,"AVENUE,",Vancouver,"4360 W 8TH AVENUE, Vancouver"
Townhouse,2 Storey,1258000,09/04/2017,3,3,1411,,36,10,1333,W 8TH,"AVENUE,",Vancouver,"1333 W 8TH AVENUE, Vancouver"
Townhouse,2 Storey,1049750,09/03/2017,3,2,1113,,9,17,1681,W 8TH,"AVENUE,",Vancouver,"1681 W 8TH AVENUE, Vancouver"
Townhouse,2 Storey,933300,19/04/2018,3,2,1111,,11,4,593,W 7TH,"AVENUE,",Vancouver,"593 W 7TH AVENUE, Vancouver"
House,2 Storey w/Bsmt.,1949900,29/03/2018,5,2,2499,0.09,78,8,4605,W 7TH,"AVENUE,",Vancouver,"4605 W 7TH AVENUE, Vancouver"
House,2 Storey w/Bsmt.,1666000,07/04/2018,6,3,2369,0.08,93,10,3149,W 7TH,"AVENUE,",Vancouver,"3149 W 7TH AVENUE, Vancouver"
House,2 Storey w/Bsmt.,4505000,28/02/2018,6,5,4066,0.24,11,13,4796,W 7TH,"AVENUE,",Vancouver,"4796 W 7TH AVENUE, Vancouver"
