index,Address,latitude,longitude,geometry
0,"4123 Yuculta Cres, Vancouver, BC",49.2292154,-123.1980102,POINT (-123.1980102 49.2292154)
1,"2638 York Ave, Vancouver, BC",49.2718695,-123.1654095,POINT (-123.1654095 49.2718695)
2,"2410 York Ave, Vancouver, BC",49.2717588,-123.1600058,POINT (-123.1600058 49.2717588)
3,"2110 Yew St, Vancouver, BC",49.267076,-123.1551445,POINT (-123.1551445 49.267076)
4,"5416 Yew St, Vancouver, BC",49.2370209,-123.1584057,POINT (-123.1584057 49.2370209)
5,"1345 Woodland Dr, Vancouver, BC",49.2723494,-123.0737344,POINT (-123.0737344 49.2723494)
6,"1608 Woodland Dr, Vancouver, BC",49.270121,-123.0734306,POINT (-123.0734306 49.270121)
7,"6091 Willow St, Vancouver, BC",49.2302686,-123.1237489,POINT (-123.1237489 49.2302686)
8,"3058 Willow St, Vancouver, BC",49.2579396,-123.1219898,POINT (-123.1219898 49.2579396)
9,"5639 Willow St, Vancouver, BC",49.2341467,-123.1239168,POINT (-123.1239168 49.2341467)
10,"5290 Willow St, Vancouver, BC",49.2376795,-123.1233171,POINT (-123.1233171 49.2376795)
11,"1925 Whyte Ave, Vancouver, BC",49.2755979,-123.148324,POINT (-123.148324 49.2755979)
12,"2006 Whyte Ave, Vancouver, BC",49.2751235,-123.150483,POINT (-123.150483 49.2751235)
13,"3412 Weymoor Pl, Vancouver, BC",49.2095697,-123.0297602,POINT (-123.0297602 49.2095697)
14,"3488 Weymoor Pl, Vancouver, BC",49.2096862,-123.0285952,POINT (-123.0285952 49.2096862)
15,"3472 Weymoor Pl, Vancouver, BC",49.209601,-123.0288314,POINT (-123.0288314 49.209601)
16,"932 Westbury Walk, Vancouver, BC",49.217816,-123.1277802,POINT (-123.1277802 49.217816)
17,"962 Westbury Walk, Vancouver, BC",49.2178173,-123.1279524,POINT (-123.1279524 49.2178173)
18,"3324 Wellington Ave, Vancouver, BC",49.2419214,-123.0354734,POINT (-123.0354734 49.2419214)
19,"3308 Wellington Ave, Vancouver, BC",49.2421145,-123.0359417,POINT (-123.0359417 49.2421145)
20,"7270 Weaver Crt, Vancouver, BC",49.2178819,-123.0277501,POINT (-123.0277501 49.2178819)
21,"7269 Weaver Crt, Vancouver, BC",49.217823,-123.0277398,POINT (-123.0277398 49.217823)
22,"2627 Waverley Ave, Vancouver, BC",49.2269921,-123.0537783,POINT (-123.0537783 49.2269921)
23,"2656 Waverley Ave, Vancouver, BC",49.226511,-123.0529852,POINT (-123.0529852 49.226511)
24,"242 Waterleigh Dr, Vancouver, BC",49.2154993,-123.1109179,POINT (-123.1109179 49.2154993)
25,"224 Waterleigh Dr, Vancouver, BC",49.2154937,-123.1107125,POINT (-123.1107125 49.2154937)
26,"Kingsway, Vancouver, BC",49.2460064,-123.0670066,POINT (-123.0670066 49.2460064)
27,"Vancouver, BC",49.2611112,-123.1138889,POINT (-123.1138889 49.2611112)
28,"75 W Woodstock Ave, Vancouver, BC",49.2340123,-123.1074539,POINT (-123.1074539 49.2340123)
29,"55 W Woodstock Ave, Vancouver, BC",49.2340013,-123.1070427,POINT (-123.1070427 49.2340013)
30,"PH -- 1 Kingsway, Vancouver, BC",49.2641241,-123.1000399,POINT (-123.1000399 49.2641241)
31,"4182 W King Edward Ave, Vancouver, BC",49.2497847,-123.2003114,POINT (-123.2003114 49.2497847)
32,"3414 W King Edward Ave, Vancouver, BC",49.2496817,-123.1804457,POINT (-123.1804457 49.2496817)
33,"1527 W King Edward Ave, Vancouver, BC",49.2498748,-123.1398792,POINT (-123.1398792 49.2498748)
34,"1327 W King Edward Ave, Vancouver, BC",49.2498108,-123.1350902,POINT (-123.1350902 49.2498108)
35,"2525 W King Edward Ave, Vancouver, BC",49.249151,-123.1619246,POINT (-123.1619246 49.249151)
36,"1390 W King Edward Ave, Vancouver, BC",49.2489813,-123.1364186,POINT (-123.1364186 49.2489813)
37,"3376 W King Edward Ave, Vancouver, BC",49.2496763,-123.1798967,POINT (-123.1798967 49.2496763)
38,"15 W King Edward Ave, Vancouver, BC",49.2491644,-123.1054794,POINT (-123.1054794 49.2491644)
39,"1920 W King Edward Ave, Vancouver, BC",49.2496606,-123.1501651,POINT (-123.1501651 49.2496606)
40,"3388 W King Edward Ave, Vancouver, BC",49.2496799,-123.1800339,POINT (-123.1800339 49.2496799)
41,"2438 W King Edward Ave, Vancouver, BC",49.2488462,-123.1606111,POINT (-123.1606111 49.2488462)
42,"1310 W King Edward Ave, Vancouver, BC",49.2489617,-123.1346619,POINT (-123.1346619 49.2489617)
43,"2445 W Broadway, Vancouver, BC",49.2640183,-123.1611009,POINT (-123.1611009 49.2640183)
44,"3768 W Broadway, Vancouver, BC",49.2641416,-123.1871362,POINT (-123.1871362 49.2641416)
45,"3855 W Broadway, Vancouver, BC",49.2647153,-123.1894506,POINT (-123.1894506 49.2647153)
46,"4669 W 9th Ave, Vancouver, BC",49.2650429,-123.2142408,POINT (-123.2142408 49.2650429)
47,"4609 W 9th Ave, Vancouver, BC",49.2650145,-123.2124429,POINT (-123.2124429 49.2650145)
48,"4406 W 9th Ave, Vancouver, BC",49.2644257,-123.2063926,POINT (-123.2063926 49.2644257)
49,"4370 W 9th Ave, Vancouver, BC",49.2644023,-123.2051439,POINT (-123.2051439 49.2644023)
